frame,people_detected,avg_confidence,processing_time_sec,fps
1,2,0.826,5.1824,0.19
2,2,0.839,0.0433,23.07
3,2,0.816,0.0546,18.32
4,3,0.634,0.0552,18.11
5,3,0.633,0.0501,19.97
6,3,0.623,0.0704,14.21
7,2,0.812,0.0513,19.47
8,2,0.8,0.0486,20.59
9,2,0.799,0.0459,21.8
10,3,0.62,0.046,21.74
11,2,0.826,0.0488,20.48
12,2,0.828,0.0691,14.47
13,2,0.797,0.0474,21.08
14,3,0.617,0.0474,21.11
15,4,0.571,0.0488,20.49
16,3,0.719,0.0452,22.12
17,3,0.727,0.0496,20.17
18,3,0.754,0.0472,21.17
19,3,0.762,0.0449,22.27
20,4,0.647,0.1082,9.24
21,3,0.753,0.3737,2.68
22,3,0.778,0.0643,15.55
23,3,0.787,0.0523,19.11
24,3,0.797,0.0477,20.97
25,3,0.779,0.0477,20.96
26,3,0.776,0.0459,21.77
27,3,0.795,0.0464,21.54
28,3,0.782,0.0435,22.97
29,3,0.754,0.0465,21.52
30,3,0.775,0.0466,21.44
31,3,0.767,0.0468,21.37
32,3,0.796,0.0473,21.13
33,4,0.666,0.0464,21.53
34,3,0.8,0.0431,23.18
35,3,0.797,0.0449,22.25
36,3,0.796,0.0448,22.32
37,3,0.805,0.0483,20.72
38,3,0.792,0.0441,22.66
39,3,0.789,0.1704,5.87
40,3,0.783,0.0475,21.03
41,3,0.773,0.0497,20.13
42,3,0.747,0.0485,20.63
43,3,0.739,0.0466,21.47
44,3,0.772,0.0481,20.81
45,3,0.811,0.0474,21.1
46,3,0.815,0.0461,21.67
47,3,0.825,0.0493,20.3
48,3,0.834,0.0483,20.71
49,3,0.819,0.0466,21.45
50,3,0.803,0.0468,21.37
51,3,0.792,0.0473,21.12
52,3,0.8,0.0442,22.62
53,3,0.77,0.0496,20.15
54,3,0.767,0.0482,20.76
55,3,0.785,0.0458,21.83
56,3,0.795,0.0464,21.57
57,3,0.811,0.0486,20.58
58,3,0.796,0.0474,21.1
59,3,0.792,0.0478,20.9
60,3,0.799,0.0474,21.09
61,3,0.793,0.0471,21.23
62,3,0.796,0.0474,21.1
63,3,0.757,0.0469,21.32
64,3,0.767,0.0474,21.12
65,3,0.758,0.0469,21.33
66,3,0.767,0.0491,20.38
67,3,0.762,0.0485,20.63
68,3,0.649,0.0465,21.5
69,3,0.763,0.0472,21.17
70,3,0.774,0.0475,21.06
71,3,0.762,0.0473,21.13
72,3,0.785,0.0487,20.52
73,3,0.759,0.0443,22.59
74,3,0.72,0.0459,21.78
75,3,0.739,0.0438,22.85
76,3,0.761,0.0462,21.63
77,3,0.732,0.0487,20.53
78,3,0.771,0.0468,21.36
79,3,0.773,0.0527,18.98
80,3,0.78,0.047,21.27
81,3,0.763,0.0497,20.12
82,3,0.777,0.0487,20.51
83,3,0.784,0.0477,20.97
84,3,0.792,0.0478,20.93
85,3,0.79,0.0491,20.37
86,3,0.776,0.0496,20.15
87,3,0.767,0.052,19.23
88,3,0.772,0.065,15.39
89,3,0.777,0.0769,13.0
90,3,0.789,0.0533,18.77
91,3,0.766,0.0628,15.93
92,3,0.778,0.0574,17.43
93,3,0.78,0.0576,17.35
94,3,0.744,0.0585,17.08
95,3,0.707,0.0463,21.59
96,3,0.661,0.0491,20.37
97,3,0.746,0.0675,14.81
98,3,0.725,0.061,16.39
99,3,0.709,0.0493,20.28
100,3,0.724,0.05,20.02
101,3,0.741,0.0546,18.33
102,3,0.756,0.0666,15.01
103,3,0.776,0.0621,16.1
104,4,0.669,0.0512,19.52
105,3,0.782,0.0467,21.41
106,3,0.752,0.0702,14.25
107,3,0.752,0.0561,17.81
108,3,0.752,0.0473,21.16
109,3,0.76,0.0497,20.11
110,3,0.762,0.0477,20.96
111,3,0.765,0.0487,20.53
112,3,0.767,0.048,20.81
113,3,0.761,0.0478,20.93
114,3,0.76,0.0487,20.54
115,3,0.714,0.0457,21.87
116,3,0.757,0.0526,19.02
117,4,0.62,0.0559,17.88
118,3,0.66,0.0494,20.26
119,3,0.742,0.0612,16.34
120,3,0.722,0.0622,16.07
121,3,0.755,0.058,17.25
122,3,0.726,0.0494,20.25
123,3,0.742,0.0497,20.11
124,3,0.75,0.0567,17.65
125,3,0.769,0.0477,20.98
126,3,0.744,0.0497,20.12
127,4,0.64,0.0468,21.35
128,3,0.746,0.0464,21.53
129,3,0.73,0.0495,20.2
130,3,0.743,0.0494,20.24
131,3,0.723,0.0476,21.02
